Name,EUR Notional,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Close Price
CRPXl,0E-20,0,0,0E-8,122,12416.00000000,0E-8,0E-8
CRPp,0E-20,0,122,148.98100000,0,0E-8,0E-8,0E-8
CRWEm,0E-20,0,163,113.95000000,163,109.36000000,0E-8,0E-8
CS51l,0E-20,0,224,11210.00000000,225,11116.00000000,0E-8,0E-8
CS9z,0E-20,0,69,262.35000000,0,0E-8,0E-8,0E-8
CSBE7z,0E-20,0,137,132.49000000,137,132.21000000,0E-8,0E-8
CSBG3m,0E-20,0,180,101.33000000,180,99.19000000,0E-8,0E-8
CSBG7z,0E-20,0,0,0E-8,473,129.32000000,0E-8,0E-8
CSBGEm,0E-20,0,164,111.07000000,164,108.74000000,0E-8,0E-8
CSBGUz,0E-20,0,180,111.85500000,0,0E-8,0E-8,0E-8
CSCAz,0E-20,0,104,240.95000000,104,240.35000000,0E-8,0E-8
CSEMAm,0E-20,0,115,159.53000000,115,159.01000000,0E-8,0E-8
CSEMAz,0E-20,0,114,175.82000000,114,175.34000000,0E-8,0E-8
CSEMSm,0E-20,0,68,263.55000000,0,0E-8,0E-8,0E-8
CSEMSz,0E-20,0,68,263.50000000,68,263.05000000,0E-8,0E-8
CSEMZz,0E-20,0,130,138.80000000,435,138.16000000,0E-8,0E-8
CSGOLz,0E-20,0,1000,186.50000000,1000,185.50000000,0E-8,0E-8
CSH2p,0E-20,0,0,0E-8,185,96.79000000,0E-8,0E-8
CSHp,0E-20,0,175,104.15300000,175,102.01800000,0E-8,0E-8
CSINDz,0E-20,0,50,400.65000000,50,399.95000000,0E-8,0E-8
CSJPm,0E-20,0,0,0E-8,117,154.92000000,0E-8,0E-8
CSKRl,0E-20,0,109,184.69000000,0,0E-8,0E-8,0E-8
CSKRm,0E-20,0,109,169.17000000,0,0E-8,0E-8,0E-8
CSKRz,0E-20,0,109,185.36000000,0,0E-8,0E-8,0E-8
CSMIBm,0E-20,0,178,102.82000000,178,101.46000000,0E-8,0E-8
CSMIBx,0E-20,0,500,112.10000000,500,111.94000000,0E-8,0E-8
CSMIBz,0E-20,0,0,0E-8,178,101.38000000,0E-8,0E-8
CSMXCz,0E-20,0,140,142.64000000,140,141.52000000,0E-8,0E-8
CSNDXm,0E-20,0,200,762.62000000,200,761.90000000,0E-8,0E-8
CSNDXz,0E-20,0,100,841.60000000,100,839.00000000,0E-8,0E-8
CSNKYz,0E-20,0,90,26955.00000000,90,26895.00000000,0E-8,0E-8
CSP1l,0E-20,0,59,35513.00000000,0,0E-8,0E-8,0E-8
CSPXJz,0E-20,0,110,181.86000000,110,181.16000000,0E-8,0E-8
CSPXa,0E-20,0,200,421.80200000,200,421.59000000,0E-8,0E-8
CSPXx,0E-20,0,100,873.20000000,100,872.20000000,0E-8,0E-8
CSSMIz,0E-20,0,316,127.52000000,1294,127.46000000,0E-8,0E-8
CSSX5m,0E-20,0,188,133.28000000,190,132.26000000,0E-8,0E-8
CSSX5z,0E-20,0,550,133.28000000,550,132.26000000,0E-8,0E-8
CSUKSz,0E-20,0,67,226.10000000,67,225.30000000,0E-8,0E-8
CSUKm,0E-20,0,392,146.60000000,392,146.42000000,0E-8,0E-8
CSUKz,0E-20,0,784,123.28000000,784,123.10000000,0E-8,0E-8
CSUSSz,0E-20,0,41,478.10000000,41,476.80000000,0E-8,0E-8
CSWUl,0E-20,0,0,0E-8,43,463.45000000,0E-8,0E-8
CSWp,0E-20,0,0,0E-8,43,416.20000000,0E-8,0E-8
CSX5a,0E-20,0,188,133.28000000,190,132.26000000,0E-8,0E-8
CSX5l,0E-20,0,100,133.66000000,100,132.20000000,0E-8,0E-8
CSp,0E-20,0,500,26.53500000,500,26.43500000,0E-8,0E-8
CU1m,0E-20,0,745,231.85000000,745,231.50000000,0E-8,0E-8
CU1p,0E-20,0,248,232.20000000,248,231.20000000,0E-8,0E-8
CU2p,0E-20,0,0,0E-8,34,522.63030000,0E-8,0E-8
CU9p,0E-20,0,57,326.34000000,57,311.01000000,0E-8,0E-8
CUSSl,0E-20,0,0,0E-8,41,476.01000000,0E-8,0E-8
CWFGl,0E-20,0,0,0E-8,81,18566.00000000,0E-8,0E-8
CWFUl,0E-20,0,81,244.60000000,81,243.60000000,0E-8,0E-8
CWFUp,0E-20,0,81,244.57460000,0,0E-8,0E-8,0E-8
CYBRl,0E-20,0,2815,7.11600000,2815,7.09200000,0E-8,0E-8
D5BBd,0E-20,0,92,198.25000000,92,193.83000000,0E-8,0E-8
D5BEd,0E-20,0,123,148.58000000,123,145.44500000,0E-8,0E-8
D5BHd,0E-20,0,253,71.69000000,253,71.52000000,0E-8,0E-8
D5BKd,0E-20,0,284,31.00000000,590,30.35500000,0E-8,0E-8
D5BMd,0E-20,0,900,78.80200000,900,78.71200000,0E-8,0E-8
DAX2Sm,0E-20,0,59000,1.56020000,59000,1.53760000,0E-8,0E-8
DAXEXx,0E-20,0,5,134.30000000,5,134.22000000,0E-8,0E-8
DAXEXz,0E-20,0,81,124.86000000,81,123.84000000,0E-8,0E-8
DAXLEm,0E-20,0,800,113.58000000,800,112.34000000,0E-8,0E-8
DAXXm,0E-20,0,75,134.80000000,75,133.72000000,0E-8,0E-8
DAXp,0E-20,0,75,134.80000000,75,133.72000000,0E-8,0E-8
DBKd,0E-20,0,34,12.30000000,426,8.10000000,0E-8,0E-8
DBPDd,0E-20,0,60600,1.51100000,29691,1.49480000,0E-8,0E-8
DBPEd,0E-20,0,81,124.16000000,82,123.14000000,0E-8,0E-8
DBPKd,0E-20,0,3030,0.50000000,0,0E-8,0E-8,0E-8
DBRCl,0E-20,0,834,24.55500000,834,24.40500000,0E-8,0E-8
DBX6d,0E-20,0,0,0E-8,384,47.66500000,0E-8,0E-8
DBX7d,0E-20,0,88,211.05000000,88,205.20000000,0E-8,0E-8
DBX9d,0E-20,0,0,0E-8,625,29.27500000,0E-8,0E-8
DBXAd,0E-20,0,2793,74.42000000,1395,74.38000000,0E-8,0E-8
DBXBd,0E-20,0,68,267.28000000,0,0E-8,0E-8,0E-8
DBXDd,0E-20,0,73,137.96000000,780,136.86000000,0E-8,0E-8
DBXEd,0E-20,0,600,41.73000000,604,41.43500000,0E-8,0E-8
DBXGd,0E-20,0,0,0E-8,47,386.38000000,0E-8,0E-8
DBXId,0E-20,0,0,0E-8,10600,25.32000000,0E-8,0E-8
DBXKd,0E-20,0,71,253.26000000,0,0E-8,0E-8,0E-8
DBXNd,0E-20,0,77,238.08000000,0,0E-8,0E-8,0E-8
DBXSd,0E-20,0,0,0E-8,142,126.48000000,0E-8,0E-8
DBXTd,0E-20,0,134,136.34100000,134,133.51300000,0E-8,0E-8
DEL2l,0E-20,0,300,318.85000000,300,313.90000000,0E-8,0E-8
DEL2m,0E-20,0,300,318.85000000,300,313.90000000,0E-8,0E-8
DEMRm,0E-20,0,0,0E-8,858,21.11500000,0E-8,0E-8
DEMSl,0E-20,0,0,0E-8,859,1786.00000000,0E-8,0E-8
DEMm,0E-20,0,1287,14.25800000,1287,13.96800000,0E-8,0E-8
DES2l,0E-20,0,0,0E-8,50900,1.78100000,0E-8,0E-8
DES2m,0E-20,0,50900,1.80580000,50900,1.78100000,0E-8,0E-8
DESNz,0E-20,0,6,261.00000000,9,254.50000000,0E-8,0E-8
DEZd,0E-20,0,0,0E-8,31,4.20000000,0E-8,0E-8
DFEm,0E-20,0,909,20.39500000,0,0E-8,0E-8,0E-8
DGITl,0E-20,0,2319,657.50000000,2319,656.00000000,0E-8,0E-8
DGNl,0E-20,0,971,453.00000000,0,0E-8,0E-8,0E-8
DGRGl,0E-20,0,0,0E-8,565,2700.00000000,0E-8,0E-8
DGRWl,0E-20,0,618,32.50000000,0,0E-8,0E-8,0E-8
DGSEm,0E-20,0,0,0E-8,994,18.36600000,0E-8,0E-8
DGTLl,0E-20,0,0,0E-8,2321,8.60500000,0E-8,0E-8
DGTLz,0E-20,0,2319,8.62600000,2319,8.60500000,0E-8,0E-8
