Name,EUR Notional,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Close Price
ROGz,11239483.556817069590,30295,9,380.40000000,9,380.30000000,380.35000000,0E-8
NOVNz,11184653.611627679358,139946,178,82.00000000,156,81.90000000,81.94000000,0E-8
SHELl,10489822.066076415700,416983,354,2107.50000000,154,2106.00000000,2106.50000000,0E-8
NESNz,5146885.641577762553,43307,88,121.92000000,113,121.90000000,121.92000000,0E-8
RELl,4427957.050329787900,155916,293,2393.00000000,2,2392.00000000,2391.00000000,0E-8
VODl,4238025.538059302400,2832102,3679,125.36000000,1304,125.30000000,125.34000000,0E-8
RIOl,4166782.940162814200,56580,329,6163.00000000,103,6160.00000000,6163.00000000,0E-8
DGEl,3886294.741220512200,84386,126,3893.50000000,22,3892.00000000,3892.50000000,0E-8
GSKl,3885906.012240774900,196871,524,1659.40000000,170,1659.00000000,1659.20000000,0E-8
AZNl,3766013.476736585700,31133,54,10152.00000000,7,10148.00000000,10152.00000000,0E-8
LSEGl,3544495.977182244900,36883,6,8078.00000000,14,8070.00000000,8076.00000000,0E-8
TSCOl,3299271.312615128600,987671,2288,282.00000000,131,281.90000000,281.95000000,0E-8
BAl,2952945.182720304200,337992,656,733.40000000,131,732.60000000,733.20000000,0E-8
NWGl,2763099.698140115300,1081824,1394,214.20000000,1259,214.10000000,214.15000000,0E-8
CPGl,2747609.546021748200,145293,138,1602.50000000,494,1601.00000000,1602.00000000,0E-8
TWl,2622232.878364727600,1678886,412,132.15000000,1729,131.85000000,131.85000000,0E-8
GLENl,2600071.912175411500,429686,283,507.70000000,611,507.40000000,507.60000000,0E-8
WPPl,2563251.669142551500,217279,757,992.80000000,684,992.00000000,992.40000000,0E-8
BATSl,2419046.407986214300,62982,331,3234.50000000,309,3233.00000000,3234.00000000,0E-8
BHPl,2321786.472755362800,65166,40,3002.50000000,88,2998.00000000,3000.25000000,0E-8
LOGNz,2153983.850445336204,31916,40,68.82000000,14,68.76000000,68.82000000,0E-8
BMEl,2105360.421890783800,325390,81,544.00000000,148,543.40000000,543.60000000,0E-8
AALl,2067867.918474062600,42662,37,4057.00000000,100,4055.00000000,4056.00000000,0E-8
SSEl,2025115.107849545400,97578,209,1742.50000000,182,1741.50000000,1742.00000000,0E-8
RKTl,2018168.518628557800,28366,251,5968.00000000,24,5964.00000000,5972.00000000,0E-8
FERGl,1869374.205240953100,15422,39,10185.00000000,92,10180.00000000,10182.50000000,0E-8
LLOYl,1830005.603987165000,3269153,1622,46.90000000,10866,46.87500000,46.89250000,0E-8
TPKl,1820368.411670331000,121383,5,1259.50000000,147,1258.50000000,1259.00000000,0E-8
HBRl,1804299.503832669800,315923,413,478.10000000,9,477.10000000,476.70000000,0E-8
STANl,1776110.877651672700,295763,4,503.20000000,792,502.60000000,503.00000000,0E-8
HSBAl,1715080.014261096900,275051,1,524.50000000,242,524.40000000,524.20000000,0E-8
KGFl,1702997.455582625200,544905,322,260.50000000,629,260.30000000,260.40000000,0E-8
ABBNz,1678836.405011255750,57297,197,29.66000000,201,29.64000000,29.65000000,0E-8
BARCl,1625519.116406203600,934268,1890,146.08000000,1144,146.02000000,146.05000000,0E-8
ZURNz,1562708.965449740628,3494,52,454.40000000,10,454.30000000,454.40000000,0E-8
ULVRl,1556302.908669558500,37121,355,3527.00000000,100,3525.50000000,3525.50000000,0E-8
BKGl,1461520.839027868600,32921,155,3747.00000000,22,3739.00000000,3744.50000000,0E-8
SGSNz,1451722.619164138201,584,1,2542.00000000,4,2539.00000000,2540.00000000,0E-8
PRUl,1446562.433893873700,108260,614,1126.50000000,1533,1125.00000000,1126.00000000,0E-8
CFRz,1331087.085250073407,11528,63,119.05000000,47,118.95000000,119.00000000,0E-8
SIKAz,1311807.918175589703,4350,46,308.90000000,9,308.70000000,308.90000000,0E-8
SGCl,1255267.122229484800,1004915,60150,105.30000000,257425,105.10000000,105.30000000,0E-8
KNINz,1186297.934814524812,4680,10,257.40000000,21,257.10000000,257.20000000,0E-8
SGEl,1179404.784598015300,137721,102,720.80000000,9,720.00000000,720.60000000,0E-8
DARKl,1155128.264305662800,215374,405,448.60000000,20,448.10000000,449.60000000,0E-8
UBSGz,1150970.368014094157,64860,386,18.16000000,20,18.15500000,18.14750000,0E-8
JDl,1146773.429199595900,636575,1163,152.15000000,442,152.05000000,152.10000000,0E-8
AGRl,1112496.520886564900,1371000,4404,68.40000000,300,68.20000000,68.25000000,0E-8
ABFl,1109254.174341909800,56446,131,1666.50000000,141,1665.50000000,1665.50000000,0E-8
RRl,1089691.508229841300,924361,1700,99.64000000,1973,99.49000000,99.60000000,0E-8
AUTOl,1079524.302097569700,142357,393,640.80000000,5,640.40000000,640.50000000,0E-8
HTWSl,1078453.165963515400,772977,170,116.30000000,845,115.70000000,116.20000000,0E-8
BPl,1061927.308515063300,236917,710,376.00000000,100,375.80000000,375.90000000,0E-8
SRENz,1054039.023196633063,12299,44,87.44000000,144,87.38000000,87.34000000,0E-8
TATEl,1029926.762136787700,117339,175,739.00000000,128,737.40000000,738.60000000,0E-8
EXPNl,1008880.200843781600,28966,66,2927.00000000,6,2925.00000000,2925.00000000,0E-8
IHGl,1002935.385346722900,16624,3,5116.00000000,16,5100.00000000,5112.00000000,0E-8
WIZZl,998047.418147245826,29301,20,2823.00000000,12,2815.00000000,2821.00000000,0E-8
BAERz,979713.741802877557,18443,131,54.14000000,2,54.08000000,54.11000000,0E-8
BRWl,954945.237387842415,156961,284,512.00000000,80752,511.00000000,511.50000000,0E-8
SCMNz,941822.844279142605,1780,22,540.20000000,59,539.60000000,539.70000000,0E-8
SNl,916524.757858458613,62700,53,1231.00000000,189,1230.00000000,1230.50000000,0E-8
WTBl,901011.028581615069,26568,59,2854.00000000,19,2851.00000000,2850.00000000,0E-8
LONNz,897181.266516589997,1358,22,675.60000000,10,675.20000000,675.60000000,0E-8
SLHNz,894105.118919447979,1525,12,600.20000000,3,599.80000000,600.00000000,0E-8
GEBNz,886835.078790251542,1583,36,571.00000000,1,570.60000000,570.80000000,0E-8
PGHNz,862734.168542625037,771,3,1141.50000000,2,1140.50000000,1141.25000000,0E-8
RMGl,855222.898567948185,220671,410,323.10000000,112,322.30000000,322.90000000,0E-8
GIVNz,851042.380346481355,226,1,3859.00000000,1,3855.00000000,3859.00000000,0E-8
AHTl,848820.815259373700,14911,86,4790.00000000,58,4785.00000000,4787.00000000,0E-8
EZJl,843300.986392536693,130371,113,544.80000000,484,544.00000000,544.20000000,0E-8
BTl,840447.021807594034,385038,413,182.65000000,668,182.50000000,182.60000000,0E-8
SOONz,839214.152882450817,2228,37,383.20000000,4,382.50000000,382.80000000,0E-8
BARNz,806610.551042380346,371,6,2234.00000000,15,2230.00000000,2232.00000000,0E-8
ENTl,805197.242854596233,41087,34,1645.50000000,56,1643.50000000,1645.00000000,0E-8
UHRz,761164.725457570715,2972,10,261.60000000,30,261.30000000,261.50000000,0E-8
HIKl,758298.401568720661,30964,224,2068.00000000,398,2066.00000000,2066.00000000,0E-8
CRBNa,752308.000000000000,24268,0,0E-8,0,0E-8,31.00000000,0E-8
ALCz,739133.199569345209,10261,42,73.72000000,285,73.68000000,73.70000000,0E-8
DOCSl,732146.803731653693,257145,100,237.20000000,360,236.80000000,236.80000000,0E-8
BBOXl,723960.590647097273,247913,1707,245.40000000,373,245.20000000,245.40000000,0E-8
NXTl,722086.018182898568,9959,9,6098.00000000,148,6088.00000000,6092.00000000,0E-8
IAGl,698993.505139937013,422224,72,139.10000000,5000,138.98000000,139.10000000,0E-8
PSNl,686666.432943133876,26770,121,2172.00000000,184,2165.00000000,2167.00000000,0E-8
OSBl,668825.289678531107,98929,629,569.50000000,301,569.00000000,569.50000000,0E-8
NGl,651853.271139105116,46871,9,1171.00000000,100,1170.00000000,1170.50000000,0E-8
ADENz,645586.267984731330,15938,100,41.33000000,42,41.25000000,41.29000000,0E-8
PHNXl,629051.601402341197,85241,15,621.80000000,135,621.00000000,621.40000000,0E-8
LANDz,618981.305667025546,11501,85,54.75000000,81,54.55000000,54.75000000,0E-8
CRDAl,602637.090736229128,6421,46,7846.00000000,5,7834.00000000,7844.00000000,0E-8
FLTRl,598594.022223542694,5734,43,8788.00000000,15,8750.00000000,8763.00000000,0E-8
MNZSl,591956.973082179571,83121,17809,601.00000000,24000,599.00000000,599.50000000,0E-8
AWEl,587537.971358963694,286135,3,173.40000000,2525,172.00000000,173.00000000,0E-8
SCHPz,586803.415875501615,3048,11,195.35000000,43,194.70000000,195.00000000,0E-8
MKSl,569545.600451601402,300450,215,159.35000000,336,159.00000000,159.35000000,0E-8
DPLMl,566625.040109335076,18056,53,2624.00000000,84,2614.00000000,2620.00000000,0E-8
IMBl,555227.975518450294,28706,91,1626.50000000,153,1625.50000000,1626.00000000,0E-8
BIFFl,551938.539425990849,145823,951,319.00000000,159,317.60000000,318.60000000,0E-8
RMVl,537407.194723394141,69762,154,652.80000000,160,651.60000000,651.60000000,0E-8
SWp,531499.500000000000,7860,0,0E-8,0,0E-8,67.62000000,0E-8
AVl,511521.670925188662,97736,690,438.60000000,207,438.30000000,438.40000000,0E-8
ABDNl,510023.145760294729,200436,288,213.80000000,371,212.80000000,213.25000000,0E-8
SFORl,505711.369659516311,130975,1364,320.80000000,20,319.40000000,320.40000000,0E-8
ADMl,503842.599084912948,16512,242,2551.00000000,12,2549.00000000,2550.00000000,0E-8
NETWl,499271.305484580189,144828,163,290.60000000,84,289.20000000,290.50000000,0E-8
ASCl,494517.564917701587,24832,21,1705.00000000,21,1696.00000000,1700.00000000,0E-8
HASl,489338.349278031969,344500,503,119.20000000,1221,118.90000000,119.10000000,0E-8
SMDSl,486128.366510190742,128067,209,319.40000000,209,318.70000000,318.95000000,0E-8
DPHl,465783.659159783707,9491,29,4146.00000000,140,4132.00000000,4136.00000000,0E-8
AVVl,458251.328064650306,15706,36,2468.00000000,12,2461.00000000,2461.00000000,0E-8
TBCGl,450291.900885376434,33838,193,1112.00000000,127,1102.00000000,1112.00000000,0E-8
MCp,444603.650000000000,683,11,700.00000000,0,0E-8,653.30000000,0E-8
HSVl,443830.771287658209,43645,397,853.00000000,4,851.00000000,852.50000000,0E-8
RTOl,437818.760472993048,70472,793,522.00000000,266,521.40000000,521.40000000,0E-8
ITVl,405972.278685602234,414994,1900,82.42000000,661,82.34000000,82.34000000,0E-8
UTGl,403644.969992275239,29222,1,1159.00000000,59,1158.00000000,1158.00000000,0E-8
HWDNl,402296.894646146533,43263,13,780.80000000,180,780.40000000,780.60000000,0E-8
SVTl,400574.009150870521,10867,115,3103.00000000,24,3097.00000000,3098.00000000,0E-8
ICPl,381274.968803850496,17826,50,1808.50000000,70,1802.50000000,1807.25000000,0E-8
MBm,372228.376000000000,39998,0,0.0,0,0.0,9.37320000,0E-8
SGROl,369788.959534137501,22962,415,1353.00000000,83,1352.00000000,1352.50000000,0E-8
HOLNz,369488.954683370853,8340,165,45.13000000,54,45.11000000,45.12000000,0E-8
BOSNz,366354.360379759225,1769,36,211.50000000,28,210.00000000,210.50000000,0E-8
SALMo,363164.921140870141,4755,0,0E-8,11,554.00000000,738.00000000,0E-8
MBTNz,358020.413134971127,895054,5360,0.40940000,14811,0.40740000,0.40800000,0E-8
OCDOl,350265.844672886089,24850,40,1179.50000000,534,1178.00000000,1178.50000000,0E-8
SXSl,337306.738368292828,11203,17,2531.00000000,107,2527.00000000,2524.00000000,0E-8
AMLl,334070.670865767425,29196,321,966.20000000,152,958.40000000,964.60000000,0E-8
FRESl,333019.606631410066,37308,300,752.40000000,68,750.80000000,753.40000000,0E-8
STMNz,331077.126358030733,227,2,1497.00000000,1,1493.50000000,1497.00000000,0E-8
CTECl,331023.236080575198,129806,1257,213.60000000,360,213.20000000,213.40000000,0E-8
OXBl,325867.431219917999,42803,82,645.00000000,159,643.00000000,645.00000000,0E-8
BBVAe,319913.951000000000,60679,0,0E-8,0,0E-8,5.25700000,0E-8
SNNl,319636.425218373047,29661,3088,908.00000000,19481,906.00000000,907.50000000,0E-8
ITRKl,316599.607819834809,5100,72,5222.00000000,15,5218.00000000,5220.00000000,0E-8
